,Bedroom,Bathroom,Den,Address,Lat,Long,Price
293,2,1.0,0,L1H,43.8975848,-78.8553098,1350.0
294,2,1.0,0,M5A,43.6519582,-79.3688547,2550.0
295,1,1.0,0,M5V,43.6367593,-79.3978503,1900.0
296,1,1.0,1,m8v,43.62160170000001,-79.4828681,2450.0
297,1,1.0,1,M4Y,43.6618956,-79.3857479,2500.0
298,1,1.0,0,M5J,43.64005770000001,-79.379201,2800.0
299,1,1.0,0,L6G,43.8516467,-79.326656,1600.0
300,1,1.0,1,M5A,43.658981,-79.36291899999999,2099.0
301,1,1.0,1,M5A,43.652576399999994,-79.36706590000001,2350.0
302,1,1.0,1,M5A,43.652576399999994,-79.36706590000001,2350.0
303,1,1.0,0,M4V,43.688897100000005,-79.41198359999999,1617.0
304,2,1.0,0,L1J,43.8929835,-78.8727317,1500.0
305,1,1.0,0,M5T,43.654757700000005,-79.4008271,1750.0
306,1,1.0,0,M5V,43.647632,-79.39296259999999,2100.0
307,1,1.0,0,M5B,43.6606054,-79.37863540000001,1950.0
308,2,2.0,0,L6G,43.84993789999999,-79.3275055,2150.0
309,2,2.0,0,M5J,43.6421671,-79.3819283,2800.0
310,2,1.5,0,L7S,43.3316744,-79.81535440000002,2000.0
311,2,2.0,0,M5H,43.6505597,-79.38207220000001,2800.0
312,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
313,1,1.0,0,M5H,43.6505597,-79.38207220000001,1900.0
314,1,1.0,0,M5A,43.6450775,-79.3643417,2450.0
315,1,1.0,0,M5A,43.65221029999999,-79.3707988,2200.0
316,2,1.0,0,L1N,43.8792747,-78.9346733,1350.0
317,1,1.0,1,M5H,43.64738010000001,-79.3872741,2400.0
318,1,1.0,1,M5V,43.6394055,-79.3932324,2424.0
319,1,1.0,0,M4X,43.6701586,-79.3756379,1700.0
320,1,1.0,0,M4X,43.6684679,-79.37483359999999,1400.0
321,1,1.0,0,M4X,43.6684679,-79.37483359999999,1700.0
322,1,1.0,0,L6X,43.6887398,-79.7642676,1500.0
323,2,1.0,0,L6X,43.6887398,-79.7642676,1775.0
324,1,1.0,0,M5J,43.6418064,-79.3789807,1830.0
325,1,1.0,0,M4Y,43.6655881,-79.383028,2000.0
326,2,1.0,0,M6M,43.6911466,-79.4714355,1850.0
327,2,1.0,0,M6K,43.648857799999995,-79.4330072,1300.0
328,1,1.0,1,M5J,43.6426791,-79.3769938,2275.0
329,1,1.0,0,M5T,43.6531643,-79.3900311,2480.0
